Day,Month,Year,powermorningbe,degrees
08,10,2021,1,6
09,10,2021,1,4
11,10,2021,1,1
12,10,2021,1,0
13,10,2021,1,1
14,10,2021,1,3
15,10,2021,1,0
16,10,2021,1,0
18,10,2021,1,1
19,10,2021,1,2
20,10,2021,1,2
21,10,2021,1,5
22,10,2021,0,8
23,10,2021,1,4
25,10,2021,1,7
27,10,2021,1,0
28,10,2021,1,-1
09,11,2021,1,0
10,11,2021,1,-1
11,11,2021,1,3
12,11,2021,1,2
13,11,2021,0,2
15,11,2021,1,0
16,11,2021,1,10
17,11,2021,1,13
18,11,2021,1,7
20,11,2021,1,12
22,11,2021,1,-4
23,11,2021,0,1
24,11,2021,1,-1
25,11,2021,1,4
26,11,2021,1,13
27,11,2021,1,-10
29,11,2021,1,-8
30,11,2021,1,8
02,12,2021,1,8
03,12,2021,1,1
04,12,2021,0,-2
06,12,2021,1,0
07,12,2021,1,-3
08,12,2021,1,-15
09,12,2021,1,19
10,12,2021,1,16
11,12,2021,1,-8
19,01,2022,1,-10
20,01,2022,1,-14
21,01,2022,1,-15
24,01,2022,1,15
25,01,2022,1,16
26,01,2022,1,16
27,01,2022,1,20
28,01,2022,1,16
29,01,2022,1,12
31,01,2022,0,12
01,02,2022,1,8
02,02,2022,1,6
04,02,2022,1,10
05,02,2022,1,12
07,02,2022,1,-13
08,02,2022,1,15
09,02,2022,1,-18
10,02,2022,1,-21
11,02,2022,1,-21
12,02,2022,0,-24
14,02,2022,1,-4
16,02,2022,1,-12
17,02,2022,1,19
18,02,2022,1,6
19,02,2022,1,6
21,02,2022,1,-10
22,02,2022,1,5
24,02,2022,1,4
25,02,2022,1,2
26,02,2022,1,-2
28,02,2022,1,-9
01,03,2022,1,7
02,03,2022,1,-6
03,03,2022,1,11
04,03,2022,1,-8
05,03,2022,1,-9
07,03,2022,0,3
09,03,2022,0,-15
10,03,2022,0,20
12,03,2022,0,-18
15,03,2022,0,18
16,03,2022,1,16
17,03,2022,0,15
18,03,2022,1,-15
19,03,2022,0,-13
29,03,2022,1,1
30,03,2022,1,2
31,03,2022,1,2
01,04,2022,1,5
02,04,2022,1,4
04,04,2022,0,3
05,04,2022,1,5
06,04,2022,1,8
07,04,2022,1,1
08,04,2022,1,2
09,04,2022,1,0
11,04,2022,1,-3
12,04,2022,1,2
13,04,2022,1,2
14,04,2022,1,3
15,04,2022,1,3
16,04,2022,1,8
18,04,2022,1,8
19,04,2022,1,1
20,04,2022,1,1
21,04,2022,1,3
22,04,2022,1,4
23,04,2022,1,-2
25,04,2022,1,1
26,04,2022,1,1
27,04,2022,1,4
28,04,2022,1,9
29,04,2022,1,15
30,04,2022,1,18
03,05,2022,1,7
04,05,2022,1,3
05,05,2022,1,6
06,05,2022,1,7
11,05,2022,1,8
12,05,2022,1,10
13,05,2022,1,11
02,09,2022,1,17
03,09,2022,1,10
05,09,2022,1,10
06,09,2022,1,11
07,09,2022,0,17
08,09,2022,0,12
09,09,2022,1,9
10,09,2022,1,8
12,09,2022,1,12
13,09,2022,1,2
14,09,2022,1,1
15,09,2022,1,6
16,09,2022,0,5
17,09,2022,1,4
19,09,2022,1,5
20,09,2022,1,12
21,09,2022,1,8
22,09,2022,1,15
23,09,2022,1,9
24,09,2022,1,9
26,09,2022,1,6
27,09,2022,1,3
28,09,2022,0,3
29,09,2022,0,-1
30,09,2022,0,-2
01,10,2022,1,1
03,10,2022,1,1
04,10,2022,1,-2
05,10,2022,1,7
06,10,2022,1,7
07,10,2022,1,0
08,10,2022,1,3
10,10,2022,1,8
11,10,2022,1,7
12,10,2022,1,10
13,10,2022,1,0
14,10,2022,1,-1
15,10,2022,1,-2
17,10,2022,1,9
18,10,2022,0,5
19,10,2022,1,6
20,10,2022,1,3
21,10,2022,1,3
22,10,2022,1,8
24,10,2022,0,3
25,10,2022,1,-2
26,10,2022,1,1
27,10,2022,1,3
28,10,2022,0,-1
08,11,2022,1,-1
09,11,2022,1,1
10,11,2022,1,-1
11,11,2022,0,-1
12,11,2022,1,1
14,11,2022,1,2
15,11,2022,0,3
16,11,2022,0,2
17,11,2022,0,-3
18,11,2022,0,-13
21,11,2022,1,12
22,11,2022,1,-12
23,11,2022,1,12
24,11,2022,0,-24
25,11,2022,1,-23
26,11,2022,0,-28
28,11,2022,0,30
29,11,2022,0,-27
30,11,2022,0,27
01,12,2022,0,21
02,12,2022,0,-18
03,12,2022,0,-22
05,12,2022,0,22
06,12,2022,0,-24
08,12,2022,0,-24
09,12,2022,0,-25
10,12,2022,1,-21
12,12,2022,0,26
13,12,2022,0,-16
14,12,2022,0,-25
17,01,2023,1,-11
18,01,2023,1,10
19,01,2023,1,-16
20,01,2023,1,10
21,01,2023,0,-30
23,01,2023,0,-15
24,01,2023,1,-11
25,01,2023,1,-9
26,01,2023,0,-6
27,01,2023,0,-10
28,01,2023,0,-10
30,01,2023,0,-10
31,01,2023,0,-10
01,02,2023,0,-17
02,02,2023,0,-22
03,02,2023,0,-21
04,02,2023,0,-17
07,02,2023,1,12
08,02,2023,1,-20
09,02,2023,0,24
10,02,2023,0,27
11,02,2023,0,26
13,02,2023,1,-10
14,02,2023,0,25
15,02,2023,0,-25
16,02,2023,0,-25
17,02,2023,1,20
18,02,2023,1,20
20,02,2023,1,-13
21,02,2023,1,5
25,02,2023,0,-8
27,02,2023,0,10
28,02,2023,1,5
01,03,2023,0,-3
02,03,2023,1,0
03,03,2023,0,2
04,03,2023,0,-8
06,03,2023,1,-6
07,03,2023,1,-3
09,03,2023,0,-8
11,03,2023,1,-1
13,03,2023,0,-10
14,03,2023,0,9
15,03,2023,0,-10
16,03,2023,0,-7
17,03,2023,0,6
18,03,2023,0,8
28,03,2023,1,2
29,03,2023,1,3
30,03,2023,1,-3
31,03,2023,1,9
01,04,2023,1,-10
03,04,2023,1,-7
04,04,2023,0,-2
05,04,2023,1,4
06,04,2023,1,2
07,04,2023,1,2
08,04,2023,0,-13
10,04,2023,1,-5
11,04,2023,1,1
12,04,2023,1,-4
13,04,2023,1,3
14,04,2023,1,3
15,04,2023,0,-10
17,04,2023,0,-6
18,04,2023,0,-11
19,04,2023,0,10
21,04,2023,0,3
22,04,2023,0,2
24,04,2023,1,7
25,04,2023,1,1
26,04,2023,1,2
27,04,2023,0,3
28,04,2023,1,11
29,04,2023,0,7
02,05,2023,0,1
03,05,2023,0,-1
04,05,2023,1,1
05,05,2023,1,11
06,05,2023,1,8
10,05,2023,1,4
11,05,2023,1,8
12,05,2023,1,5
13,05,2023,0,5
15,05,2023,1,5
16,05,2023,1,5
05,09,2023,1,12
06,09,2023,1,10
08,09,2023,1,10
09,09,2023,1,9
11,09,2023,1,7
14,09,2023,1,9
15,09,2023,0,9
16,09,2023,1,12
19,09,2023,1,13
20,09,2023,0,10
21,09,2023,1,9
22,09,2023,0,9
23,09,2023,0,9
25,09,2023,0,5
26,09,2023,0,1
27,09,2023,1,2
28,09,2023,1,7
29,09,2023,0,8
02,10,2023,1,-1
03,10,2023,1,3
04,10,2023,1,2
05,10,2023,1,5
06,10,2023,0,6
07,10,2023,1,8
09,10,2023,1,10
10,10,2023,1,10
11,10,2023,1,13
12,10,2023,1,6
13,10,2023,0,4
14,10,2023,1,6
16,10,2023,1,3
17,10,2023,0,8
18,10,2023,1,8
19,10,2023,1,8
20,10,2023,1,2
21,10,2023,1,5
24,10,2023,0,2
25,10,2023,0,3
26,10,2023,1,9
27,10,2023,0,-3
08,11,2023,0,-3
09,11,2023,0,-3
10,11,2023,0,-6
11,11,2023,0,1
13,11,2023,0,4
14,11,2023,1,3
15,11,2023,0,2
16,11,2023,1,4
17,11,2023,0,6
18,11,2023,0,2
20,11,2023,1,-8
21,11,2023,1,11
22,11,2023,1,14
23,11,2023,1,-10
24,11,2023,1,2
25,11,2023,0,1
27,11,2023,1,-1
28,11,2023,0,-7
29,11,2023,0,-9
30,11,2023,0,-4
01,12,2023,0,2
02,12,2023,0,-2
04,12,2023,0,-5
05,12,2023,1,16
07,12,2023,1,-22
08,12,2023,0,34
09,12,2023,0,34
11,12,2023,0,-29
12,12,2023,0,30
13,12,2023,0,32
16,01,2024,0,25
17,01,2024,0,26
18,01,2024,0,27
19,01,2024,0,25
20,01,2024,1,15
22,01,2024,1,21
23,01,2024,1,-15
24,01,2024,1,14
25,01,2024,1,14
